id,name,iso,region,bureau
1,Global,,Global,
2,Antarctica,,Antarctica,
3,Australia and New Zealand,,Australia and New Zealand,
4,Central Asia,,Central Asia,
5,Eastern Asia,,Eastern Asia,
6,Eastern Europe,,Eastern Europe,
7,Latin America and the Caribbean,,Latin America and the Caribbean,
8,Melanesia,,Melanesia,
9,Micronesia,,Micronesia,
10,Northern Africa,,Northern Africa,
11,Northern America,,Northern America,
12,Northern Europe,,Northern Europe,
13,Polynesia,,Polynesia,
14,South-eastern Asia,,South-eastern Asia,
15,Southern Asia,,Southern Asia,
16,Southern Europe,,Southern Europe,
17,Sub-Saharan Africa,,Sub-Saharan Africa,
18,Western Asia,,Western Asia,
19,Western Europe,,Western Europe,
20,Afghanistan,AFG,Southern Asia,RBAP
21,Albania,ALB,Southern Europe,RBEC
22,Antarctica,ATA,Antarctica,
23,Algeria,DZA,Northern Africa,RBAS
24,American Samoa,ASM,Polynesia,
25,Andorra,AND,Southern Europe,
26,Angola,AGO,Sub-Saharan Africa,RBA
27,Antigua and Barbuda,ATG,Latin America and the Caribbean,RBLAC
28,Azerbaijan,AZE,Western Asia,RBEC
29,Argentina,ARG,Latin America and the Caribbean,RBLAC
30,Australia,AUS,Australia and New Zealand,
31,Austria,AUT,Western Europe,
32,Bahamas,BHS,Latin America and the Caribbean,RBLAC
33,Bahrain,BHR,Western Asia,RBAS
34,Bangladesh,BGD,Southern Asia,RBAP
35,Armenia,ARM,Western Asia,RBEC
36,Barbados,BRB,Latin America and the Caribbean,RBLAC
37,Belgium,BEL,Western Europe,
38,Bermuda,BMU,Northern America,
39,Bhutan,BTN,Southern Asia,RBAP
40,Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,RBLAC
41,Bosnia and Herzegovina,BIH,Southern Europe,RBEC
42,Botswana,BWA,Sub-Saharan Africa,RBA
43,Bouvet Island,BVT,Latin America and the Caribbean,
44,Brazil,BRA,Latin America and the Caribbean,RBLAC
45,Belize,BLZ,Latin America and the Caribbean,RBLAC
46,British Indian Ocean Territory,IOT,Sub-Saharan Africa,
47,Solomon Islands,SLB,Melanesia,RBAP
48,British Virgin Islands,VGB,Latin America and the Caribbean,
49,Brunei Darussalam,BRN,South-eastern Asia,RBAP
50,Bulgaria,BGR,Eastern Europe,
51,Myanmar,MMR,South-eastern Asia,RBAP
52,Burundi,BDI,Sub-Saharan Africa,RBA
53,Belarus,BLR,Eastern Europe,RBEC
54,Cambodia,KHM,South-eastern Asia,RBAP
55,Cameroon,CMR,Sub-Saharan Africa,RBA
56,Canada,CAN,Northern America,
57,Cabo Verde,CPV,Sub-Saharan Africa,RBA
58,Cayman Islands,CYM,Latin America and the Caribbean,
59,Central African Republic,CAF,Sub-Saharan Africa,RBA
60,Sri Lanka,LKA,Southern Asia,RBAP
61,Chad,TCD,Sub-Saharan Africa,RBA
62,Chile,CHL,Latin America and the Caribbean,RBLAC
63,China,CHN,Eastern Asia,RBAP
64,Christmas Island,CXR,Australia and New Zealand,
65,Cocos (Keeling) Islands,CCK,Australia and New Zealand,
66,Colombia,COL,Latin America and the Caribbean,RBLAC
67,Comoros,COM,Sub-Saharan Africa,RBA
68,Mayotte,MYT,Sub-Saharan Africa,
69,Congo,COG,Sub-Saharan Africa,RBA
70,Democratic Republic of the Congo,COD,Sub-Saharan Africa,RBA
71,Cook Islands,COK,Polynesia,
72,Costa Rica,CRI,Latin America and the Caribbean,RBLAC
73,Croatia,HRV,Southern Europe,
74,Cuba,CUB,Latin America and the Caribbean,RBLAC
75,Cyprus,CYP,Western Asia,
76,Czechia,CZE,Eastern Europe,
77,Benin,BEN,Sub-Saharan Africa,RBA
78,Denmark,DNK,Northern Europe,
